pais,ano,tipo_energia,producao_energia_porcentagem,emissao_co2_per_capita
Saint Vincent and the Grenadines,2010,Other Fossil,80.00,88.0328
Saint Vincent and the Grenadines,2010,Hydro,20.00,88.0328
Djibouti,2010,Other Fossil,100.00,87.6753
Guatemala,2010,Hydro,43.10,81.2187
Guatemala,2010,Other Fossil,23.08,81.2187
Guatemala,2010,Bioenergy,17.65,81.2187
Guatemala,2010,Coal,13.24,81.2187
Guatemala,2010,Other Renewables,2.94,81.2187
Nicaragua,2010,Other Fossil,63.29,81.1807
Nicaragua,2010,Hydro,13.70,81.1807
Nicaragua,2010,Bioenergy,10.41,81.1807
Nicaragua,2010,Other Renewables,8.22,81.1807
Nicaragua,2010,Wind,4.38,81.1807
Pakistan,2010,Other Fossil,35.11,78.1108
Pakistan,2010,Hydro,33.65,78.1108
Pakistan,2010,Gas,27.37,78.1108
Pakistan,2010,Nuclear,2.71,78.1108
Pakistan,2010,Bioenergy,1.05,78.1108
Pakistan,2010,Coal,0.10,78.1108
Pakistan,2010,Wind,0.01,78.1108
Pakistan,2010,Solar,0.01,78.1108
Eswatini,2010,Bioenergy,64.86,76.9217
Eswatini,2010,Hydro,32.43,76.9217
Eswatini,2010,Coal,1.35,76.9217
Eswatini,2010,Other Fossil,1.35,76.9217
Zimbabwe,2010,Hydro,67.13,75.3563
Zimbabwe,2010,Coal,31.83,75.3563
Zimbabwe,2010,Bioenergy,0.81,75.3563
Zimbabwe,2010,Other Fossil,0.23,75.3563
Belize,2010,Hydro,61.90,72.6007
Belize,2010,Bioenergy,26.19,72.6007
Belize,2010,Other Fossil,7.14,72.6007
Belize,2010,Gas,4.76,72.6007
Sao Tome and Principe,2010,Other Fossil,100.00,68.3161
Solomon Islands,2010,Other Fossil,100.00,67.2461
Vanuatu,2010,Other Fossil,100.00,64.9743
Sri Lanka,2010,Hydro,52.66,64.7385
Sri Lanka,2010,Other Fossil,46.59,64.7385
Sri Lanka,2010,Wind,0.47,64.7385
Sri Lanka,2010,Bioenergy,0.28,64.7385
Mauritania,2010,Other Fossil,85.88,62.3864
Mauritania,2010,Hydro,14.12,62.3864
Nigeria,2010,Gas,75.58,56.8501
Nigeria,2010,Hydro,24.38,56.8501
Nigeria,2010,Bioenergy,0.04,56.8501
Kiribati,2010,Other Fossil,100.00,56.2077
Papua New Guinea,2010,Other Fossil,48.15,55.4253
Papua New Guinea,2010,Hydro,24.22,55.4253
Papua New Guinea,2010,Gas,16.24,55.4253
Papua New Guinea,2010,Other Renewables,11.40,55.4253
Senegal,2010,Other Fossil,87.62,55.2210
Senegal,2010,Hydro,7.74,55.2210
Senegal,2010,Gas,2.48,55.2210
Senegal,2010,Bioenergy,2.17,55.2210
Benin,2010,Other Fossil,100.00,51.8419
Sudan (the),2010,Hydro,81.00,47.7484
Sudan (the),2010,Other Fossil,17.15,47.7484
Sudan (the),2010,Bioenergy,1.85,47.7484
Lao People's Democratic Republic (the),2010,Hydro,100.00,46.7526
Ghana,2010,Hydro,68.48,44.1535
Ghana,2010,Other Fossil,18.48,44.1535
Ghana,2010,Gas,12.85,44.1535
Ghana,2010,Bioenergy,0.20,44.1535
Tajikistan,2010,Hydro,99.76,40.1313
Tajikistan,2010,Gas,0.24,40.1313
Bangladesh,2010,Gas,92.46,39.9175
Bangladesh,2010,Other Fossil,3.62,39.9175
Bangladesh,2010,Coal,1.88,39.9175
Bangladesh,2010,Hydro,1.86,39.9175
Bangladesh,2010,Solar,0.17,39.9175
Cameroon,2010,Hydro,72.01,39.7812
Cameroon,2010,Other Fossil,19.80,39.7812
Cameroon,2010,Gas,7.17,39.7812
Cameroon,2010,Bioenergy,1.02,39.7812
Togo,2010,Other Fossil,59.09,37.5012
Togo,2010,Hydro,40.91,37.5012
Cambodia,2010,Other Fossil,92.08,35.5699
Cambodia,2010,Hydro,2.97,35.5699
Cambodia,2010,Coal,2.97,35.5699
Cambodia,2010,Bioenergy,1.98,35.5699
Kenya,2010,Hydro,47.35,32.5744
Kenya,2010,Other Fossil,25.56,32.5744
Kenya,2010,Other Renewables,20.25,32.5744
Kenya,2010,Bioenergy,6.56,32.5744
Kenya,2010,Wind,0.28,32.5744
Cote d'Ivoire,2010,Gas,70.42,32.5275
Cote d'Ivoire,2010,Hydro,26.89,32.5275
Cote d'Ivoire,2010,Other Fossil,1.51,32.5275
Cote d'Ivoire,2010,Bioenergy,1.18,32.5275
Timor-Leste,2010,Other Fossil,100.00,30.8294
Malawi,2010,Hydro,90.63,30.2749
Malawi,2010,Other Fossil,6.25,30.2749
Malawi,2010,Bioenergy,3.13,30.2749
Afghanistan,2010,Hydro,85.23,27.5381
Afghanistan,2010,Other Fossil,7.95,27.5381
Afghanistan,2010,Coal,6.82,27.5381
Haiti,2010,Other Fossil,75.00,26.4982
Haiti,2010,Hydro,25.00,26.4982
Lesotho,2010,Hydro,100.00,26.2893
Guinea,2010,Hydro,76.19,24.2534
Guinea,2010,Other Fossil,23.81,24.2534
Comoros (the),2010,Other Fossil,100.00,23.9144
Gambia (the),2010,Other Fossil,100.00,22.9779
Zambia,2010,Hydro,99.90,20.9178
Zambia,2010,Other Fossil,0.10,20.9178
Guinea-Bissau,2010,Other Fossil,100.00,20.1296
Liberia,2010,Other Fossil,100.00,19.6605
Myanmar,2010,Hydro,71.81,17.6010
Myanmar,2010,Gas,20.42,17.6010
Myanmar,2010,Coal,7.42,17.6010
Myanmar,2010,Other Fossil,0.35,17.6010
Eritrea,2010,Other Fossil,100.00,17.5439
Nepal,2010,Hydro,99.69,17.4991
Nepal,2010,Solar,0.31,17.4991
"Tanzania, the United Republic of",2010,Hydro,50.66,16.3842
"Tanzania, the United Republic of",2010,Gas,44.09,16.3842
"Tanzania, the United Republic of",2010,Other Fossil,3.75,16.3842
"Tanzania, the United Republic of",2010,Bioenergy,1.31,16.3842
"Tanzania, the United Republic of",2010,Solar,0.19,16.3842
Mozambique,2010,Hydro,99.88,15.6805
Mozambique,2010,Gas,0.12,15.6805
Mali,2010,Other Fossil,50.85,12.5204
Mali,2010,Hydro,46.61,12.5204
Mali,2010,Bioenergy,2.12,12.5204
Mali,2010,Solar,0.42,12.5204
Burkina Faso,2010,Other Fossil,77.59,12.1751
Burkina Faso,2010,Hydro,20.69,12.1751
Burkina Faso,2010,Solar,1.72,12.1751
Sierra Leone,2010,Hydro,85.71,11.4580
Sierra Leone,2010,Other Fossil,14.29,11.4580
Uganda,2010,Hydro,54.38,11.2859
Uganda,2010,Other Fossil,40.51,11.2859
Uganda,2010,Bioenergy,4.38,11.2859
Uganda,2010,Solar,0.73,11.2859
Madagascar,2010,Hydro,53.85,8.8720
Madagascar,2010,Other Fossil,45.38,8.8720
Madagascar,2010,Bioenergy,0.77,8.8720
Niger (the),2010,Coal,68.97,8.7124
Niger (the),2010,Other Fossil,31.03,8.7124
Ethiopia,2010,Hydro,97.41,7.5951
Ethiopia,2010,Bioenergy,1.20,7.5951
Ethiopia,2010,Other Fossil,1.00,7.5951
Ethiopia,2010,Other Renewables,0.40,7.5951
Rwanda,2010,Other Fossil,57.14,7.0773
Rwanda,2010,Hydro,39.29,7.0773
Rwanda,2010,Gas,3.57,7.0773
Somalia,2010,Other Fossil,100.00,6.4607
Central African Republic (the),2010,Hydro,81.25,4.4692
Central African Republic (the),2010,Other Fossil,18.75,4.4692
Congo (the Democratic Republic of the),2010,Hydro,98.85,4.2944
Congo (the Democratic Republic of the),2010,Gas,1.02,4.2944
Congo (the Democratic Republic of the),2010,Other Fossil,0.13,4.2944
Chad,2010,Other Fossil,100.00,4.2266
Faroe Islands (the),2010,Other Fossil,71.43,4.1104
Faroe Islands (the),2010,Hydro,25.00,4.1104
Faroe Islands (the),2010,Wind,3.57,4.1104
Burundi,2010,Hydro,87.50,3.4256
Burundi,2010,Other Fossil,12.50,3.4256
Virgin Islands (U.S.),2010,Other Fossil,100.00,0.1846
American Samoa,2010,Other Fossil,100.00,0.1811
Guam,2010,Other Fossil,100.00,0.1802
Nauru,2010,Other Fossil,100.00,0.0000
